application/vnd.rar	.rar		281	"<strong>R</strong>oshal <strong>AR</strong>chive (RAR) is a proprietary file format used by the compression software WinRAR. They make the decompression code available for use in other programs and allow its distribution, but with a license provision that ""You cannot use the unrar source to re-create the RAR compression algorithm, which is proprietary."
https://www.iana.org/assignments/media-types/application/vnd.google-earth.kml+xml			277	
EEA:DBPG			274	
WWW:LINK-1.0-http--link			269	
application/vnd.wordperfect	.wpd		269	
OGC:WFS-1.1.0-http-getfeature			266	
14			265	
data			263	
application/gpx+xml			263	
HTTP:OGC:WMS			259	
application/mathematica	.ma,.mb,.nb		258	
image/x-tiff			257	
Information			256	
OGC:WPS--gogoduck			250	
video/mpeg	.m1v,.m2v,.mpa,.mpe,.mpeg,.mpg		249	
kmz			245	
INSPIRE-ATOM			243	
OGR-GPKG			233	
image/emf			231	
application/vnd.ms-excel.sheet.binary.macroenabled.12	.xlsb		230	
wfs			227	
OGC:OGC-API-Features-items			226	
application/x-shapefile			222	
XLS			219	
OGR-SHP-ZIP			210	
OGR-TAB-ZIP			210	
OGR-KML-ZIP			210	
OGR-MIF-ZIP			210	
OGR-CSV-ZIP			210	
OGR-DGN-ZIP			210	
OGR-DXF-ZIP			210	
false			209	
wcs:Capabilities (WCS 2.0)			208	
image/x-apple-ios-png			207	
WMS			199	
 			197	
SOAP			195	
OGC:WMTS-1.0.0-http-get-capabilities			188	
Dirección Web (URL-Uniforme Resource Locators)			188	
audio/x-aiff	.aif,.aifc,.aiff		185	
application/x-sas			184	
text/plain;charset=US-ASCII			182	
15			179	
text/x-r-markdown			177	
application/unknown			176	
OGC:WCS-2.0.0-http-get-coverage			175	
shapefile (gezippt)			174	
AMQPS			172	
text/vnd.ascii-art			172	
api			170	
text/html; charset=utf-8			169	
WWW:DOWNLOAD-1.0-https--download			169	
image/vnd.adobe.photoshop	.psd		168	
OGC:WPS			165	
HTTP:Nedladdning			164	
http			162	
application/x-research-info-systems			161	
application/x-rar			160	
16			160	
application/x-sas-data			159	
shp			156	
https://www.iana.org/assignments/media-types/text/rdf+xml			156	
application/vnd.realvnc.bed			154	
text/json			153	
OGC:WCS-2.0.1-http-get-coverage			152	
application/biosequence.fasta			149	
application/ESRI REST			147	
text/x-rsrc			146	
NETWORK:LINK			146	
OGC:OWS-C			145	
text/x-sh			145	
application/txt			144	
application/vnd.ms-excel.sheet.binary.macroEnabled.12			142	
17			140	
OGC:WFS-1.1.0-http-get-feature			139	
chemical/x-cif	.cif		139	
undefined			138	
chemical/x-pdb			138	
application/msaccess			134	
https://www.iana.org/assignments/media-types/application/vnd.shp			134	
application/vnd.shp+zip			134	
https://www.iana.org/assignments/media-types/application/rdf+xml			132	
application/Data Viewer			132	
image/x-3ds			130	
WWW:OPENSEARCH			130	
application/vnd.groove-tool-template	.tpl		130	
CZML			125	
CZML-ZIP			125	
OGC:WMTS-1.0.0-http-get-tile			125	
video/x-m4v	.m4v	video	125	
18			124	
OGC:OGC-API-Features-landingpage			123	
WFS			122	
application/x-shellscript	.sh		122	Why even drag this in?
ESRI REST: Image Service			121	
audio/mp3			119	
application/vnd.api+json			116	
GeoDatabase/ZIP			113	
application/acad			113	
Shapefile/ZIP			113	
19			110	
audio/x-m4a			109	
message/rfc822	.eml,.mht,.mhtml,.mime,.nws		107	"A Content-Type of ""message/rfc822"" indicates that the body contains an encapsulated message, with the syntax of an RFC 822 message."
chemical/x-mdl-sdfile			105	
model/x3d+xml			102	
application/vnd.wolfram.mathematica.package			102	
application/java-archive	.jar		102	
20			101	
text/html;charset=utf-8			100	
application/x-msmetafile	.wmf		99	
image/heic	.heif,.heic		98	The MIME subtype name may be 'heic' only if the file conforms to the requirements of the 'heic', 'heix', 'heim', or 'heis' brand, and contains at least one of those brands as a compatible brand. The MIME subtype name may be 'heif' only if the file conforms to the requirements of the 'mif1' brand, and contains that brand as a compatible brand.<br /><br />HEIF (High Efficiency Image File Format) is the lossy image and animation format defined by MPEG-H Part 12 (ISO/IEC 23008-12). <br /><br />It is closely related to the HEVC video format, so in that way it is similar to BPG. It uses boxes/atoms format as a container format, so in that way it is similar to JPEG 2000.
OGC:WCS-1.1.0-http-get-coverage			98	
application/vnd.ms-xpsdocument	.xps	documents	96	
21			96	
text/rdf+xml			94	
text/plain; charset=utf-8			94	
appliation/zip			94	
text/wfs			93	
application/x-stata-dta			92	
application/x-font-ttf	.ttc,.ttf		90	
application/CDFV2			89	
https://www.iana.org/assignments/media-types/image/tiff			89	
application/vnd.lotus-notes	.nsf		89	
tiff			89	
WWW:DOWNLOAD-1.0-link--order			88	
application/xhtml+xml	.xht,.xhtml		87	
https://www.iana.org/assignments/media-types/application/vnd.ms-excel			85	
video/x-ms-wmv	.wmv		84	
atom			82	
application/x-troff-man	.man	documents	81	
XLSX			81	
WWW:DOWNLOAD-1.0-http—download			80	
OGC:WCS-2.0.1-http-get-capabilities			80	
FTP			80	
application/pgp-keys			78	
22			76	
application/sparql-query	.rq		76	
OGC:WFS-1.1.0-http-get-capabilities			76	
text/troff	.man,.me,.ms,.roff,.t,.tr		76	
GEOJSON			75	
text/pdf			75	
txt			74	
text/x-tex			73	
application/vnd.shp			72	
23			72	
application/x-dbf			70	
xsl			69	
OGC Web Map Service			69	
text/prs.lines.tag	.dsc		69	
Website			69	
application/vnd.publishare-delta-tree	.qps		66	
OGC API – Features			66	
application/api			66	
ArcGIS featureservice			66	
ArcGIS mapservice			66	
image/jp2	.jp2	images	65	
video/x-matroska	.mkv		65	Matroska (sometimes spelled Matroška) is an open standard multimedia container format. It is based on the EBML metaformat and can be used with a variety of compressed video formats.
"
        application/word
      "			63	
OGC Web Feature Service			63	
application/x-iwork-keynote-sffkey			63	
application/x-swc			63	
text/vnd.fmi.flexstor	.flx		62	
dwg/dxf			61	
application/text			61	
OGC:WFS-2.0.0-http-describefeaturetype			61	
application/x-troff			60	
audio/x-flac			60	
application/download			59	
HTTP:Information:Produktspecifikation			59	
prj			58	
audio/basic	.au,.snd		58	
dbf			58	
shx			58	
application/vnd.pg.format	.str		58	
url			57	
24			57	
application/vnd.ms-word.document.macroenabled.12	.docm		57	
ArcGIS Mapservice			57	
application/x-graphpad-prism-pzfx			56	
application/x-tcl	.tcl		56	
application/x-yaml			56	
ESRI REST			56	
