mime	name	exts	default_mime	default_ext	categories	count
application/vnd.proteus.magazine		.mgz				7
application/>octet-stream						7
application/x-apple-diskimage						7
image/x-hdr						7
application/x-javascript						7
application/rpki-ghostbusters						7
application/mx20						7
application/nx						7
application/vnd.mobius.daf		.daf		.daf		6
application/vnd.sqlite3		.db,.sqlite,.sqlite3,.db-wal,.sqlite-wal,.db-shm,.sqlite-shm	application/x-sqlite3	.sqlite	data	6
application/vnd.eszigno3+xml		.es3,.et3		.es3		6
application/vnd.epson.msf		.msf				6
application/vnd.openxmlformats-officedocument.presentationml.slideshow		.ppsx		.ppsx	documents	6
text/x-chdr						6
text/HTML						6
image/example						6
application/x-Research-Info-Systems						6
application/xqgis						6
model/example						6
application/tsv						6
application/kmz						6
application/x-iwork-numbers-sffnumbers						6
application/vnd.afpc.modca-overlay						6
chemical/x-embl-dl-nucleotide						6
application/WFS						6
application/x-turtle						6
application/7-zip						6
application/epub+zip		.epub		.epub	documents	5
application/vnd.oasis.opendocument.presentation		.odp		.odp	documents	5
application/x-ms-wmz		.wmz		.wmz		5
text/x-haxe						5
text/xml;charset=UTF-8						5
application/json;charset=UTF-8						5
image/x-tga						5
application/vnd.ms-officetheme						5
application/nc						5
application/vnd.multiad.creator.cif						5
application/x-python						5
text/x-sql						5
text/csv;charset=UTF-8						5
application/x-esri-crs						5
application/vnd.ms-outlook						5
application/x-gzip-compressed						5
application/x-rss+xml						5
application/vnd.dbf						5
application/mx22						5
chemical/x-sdlfile						5
application/x-stata-do						5
application/x-applix-spreadsheet						5
application/x-endnote-connect						5
application/x-r-project						5
application/vnd.android.package-archive		.apk		.apk	code	4
application/x-csh		.csh		.csh	code	4
application/gpkg		.gpkg	application/x-gpkg	.gpkg	geodata	4
application/vnd.ibm.rights-management		.irm				4
audio/x-mpegurl		.m3u		.m3u	video	4
application/x-shar		.shar				4
text/xlsx						4
text/SGML						4
application/x-lzh-compressed						4
application/viplab+json						4
text/x-patch						4
application/illustrator						4
application/vnd.arinc						4
application/x-photoshop						4
chemical/x-molfile						4
video/example					video	4
document/unknown						4
text/x-perl						4
application/xhdf5						4
unknown/unknown						4
application/x-executable						4
application/x-sharedlib						4
application/x-ole-storage						4
application/x-ns-proxy-autoconfig						4
application/vndams-excel						4
application/ppt						4
application/vnd.pmi.widget						4
chemical/x-cerius						4
application/x-dna						4
application/x-fasta+txt						4
application/vnd.chemdraw+xml		.cdxml				3
image/cgm		.cgm				3
application/vnd.rim.cod		.cod				3
text/vnd.graphviz		.gv		.gv	images	3
application/cu-seeme		.cu				3
application/vnd.openxmlformats-officedocument.wordprocessingml.template		.dotx		.dotx	documents	3
application/x-dvi		.dvi				3
application/x-latex		.latex		.latex	documents	3
audio/x-matroska		.mka				3
application/mxf		.mxf				3
application/x-perl		.pm,.pl				3
Image/png		.png	image/png	.png	images	3
application/vnd.ms-powerpoint.presentation.macroenabled.12		.pptm				3
application/vnd.stardivision.draw		.sda				3
application/wsdl+xml		.wsdl		.wsdl	code	3
text/x-c++hdr						3
text/zip						3
application/rest						3
application/x-dosexec						3
text/gml+xml						3
application/softgrid-7z						3
application/asx						3
test/csv						3
application/x-octet-stream						3
text/x-sfv						3
application/nvivo-project						3
application/x-chimera						3
application/a-qgis						3
apploication/vnd.ms-excel						3
application/text-plain:formatted						3
application/vnd.ms-excel.template.macroEnabled.12						3
application/vnd.google-apps.map						3
application/softgrid-sps						3
tesxt/json						3
application/Data Download						3
application/png						3
application/x-graphpad-prism-pzf						3
application/haansofthwp						3
application/xqis						3
application/ascii						3
application/vnd.snesdev-page-table						3
application/shapefiles						3
audio/x-ms-wmv						3
image/x-applix-graphics						3
application/json+gzip						3
application/x-msi						3
application/dsb						3
application/x-abiword		.abw		.abw	documents	2
application/x-ms-application		.application				2
application/applixware		.aw				2
application/vnd.ms-pki.seccat		.cat				2
image/x-cmx		.cmx				2
text/x-rst		.rst		.rst	documents	2
application/vnd.chipnuts.karaoke-mmd		.mmd				2
application/vnd.oasis.opendocument.database		.odb				2
application/x-font-otf		.otf				2
image/x-portable-graymap		.pgm				2
application/x-font-linux-psf		.psf				2
application/vnd.rn-realmedia		.rm				2
application/vnd.stardivision.writer		.sdw,.vor				2
application/x-stuffitx		.sitx				2
application/smil+xml		.smi,.smil				2
application/x-font-snf		.snf				2
application/hyperstudio		.stk				2
text/example						2
text/html; charset=utf-8; charset=utf-8						2
application/example						2
application/x-fityk						2
